Date,Close,High,Low,Open,Volume
2015-01-02,14.620667457580566,14.883333206176758,14.21733283996582,14.857999801635742,14
2015-01-05,14.005999565124512,14.43333339691162,13.810667037963867,14.303333282470703,14
2015-01-06,14.085332870483398,14.279999732971191,13.61400032043457,14.003999710083008,14
2015-01-07,14.063332557678224,14.3186674118042,13.985333442687988,14.223333358764648,14
2015-01-08,14.041333198547363,14.25333309173584,14.000666618347168,14.187333106994627,14
2015-01-09,13.77733325958252,13.998666763305664,13.663999557495115,13.928000450134276,13
2015-01-12,13.480667114257812,13.631333351135254,13.283332824707031,13.536666870117188,13
2015-01-13,13.616666793823242,13.84066677093506,13.394000053405762,13.554667472839355,13
2015-01-14,12.845999717712402,13.013333320617676,12.333333015441896,12.388667106628418,12
2015-01-15,12.791333198547363,13.050000190734863,12.666666984558104,12.965999603271484,12
2015-01-16,12.871333122253418,12.965999603271484,12.643333435058594,12.713333129882812,12
2015-01-20,12.795332908630373,12.941332817077637,12.469332695007324,12.924667358398438,12
2015-01-21,13.104666709899902,13.245332717895508,12.633999824523926,12.636667251586914,13
2015-01-22,13.441332817077637,13.54933261871338,13.013333320617676,13.133333206176758,13
2015-01-23,13.419333457946776,13.56666660308838,13.222000122070312,13.352666854858398,13
2015-01-26,13.770000457763672,13.907999992370604,13.403332710266112,13.45533275604248,13
2015-01-27,13.732000350952148,13.868666648864746,13.553333282470703,13.628000259399414,13
2015-01-28,13.291333198547363,13.758000373840332,13.227999687194824,13.740667343139648,13
2015-01-29,13.68000030517578,13.732000350952148,13.100000381469728,13.404666900634766,13
2015-01-30,13.57333278656006,13.83133316040039,13.533332824707031,13.597332954406738,13
2015-02-02,14.062666893005373,14.130000114440918,13.553333282470703,13.597999572753906,14
2015-02-03,14.557332992553713,14.691332817077637,14.084667205810549,14.214667320251465,14
2015-02-04,14.56999969482422,14.76533317565918,14.453332901000977,14.552666664123535,14
2015-02-05,14.732666969299316,15.031999588012695,14.642666816711426,14.658666610717772,14
2015-02-06,14.61566686630249,14.893333435058594,14.43333339691162,14.800000190734863,14
2015-02-09,14.498666763305664,14.528667449951172,14.13266658782959,14.358667373657228,14
2015-02-10,14.419333457946776,14.699999809265137,14.333333015441896,14.50333309173584,14
2015-02-11,14.186667442321776,14.315999984741213,13.8186674118042,14.147333145141602,14
2015-02-12,13.525333404541016,13.53933334350586,12.885333061218262,12.904666900634766,13
2015-02-13,13.584667205810549,13.732666969299316,13.394000053405762,13.526666641235352,13
2015-02-17,13.623332977294922,13.713333129882812,13.43333339691162,13.713333129882812,13
2015-02-18,13.630666732788086,13.744667053222656,13.506667137145996,13.611332893371582,13
2015-02-19,14.11400032043457,14.162667274475098,13.583333015441896,13.666666984558104,14
2015-02-20,14.473999977111816,14.506667137145996,13.987333297729492,14.052000045776367,14
2015-02-23,13.822667121887209,14.546667098999023,13.755332946777344,14.37733268737793,13
2015-02-24,13.607333183288574,13.81933307647705,13.446666717529297,13.81933307647705,13
2015-02-25,13.583999633789062,13.809332847595217,13.505332946777344,13.662667274475098,13
2015-02-26,13.812666893005373,14.072667121887209,13.481332778930664,13.600000381469728,13
2015-02-27,13.555999755859377,13.903332710266112,13.486232728958127,13.793333053588867,13
2015-03-02,13.155332565307615,13.555999755859377,13.055333137512209,13.513333320617676,13
2015-03-03,13.303999900817873,13.349332809448242,13.021332740783691,13.120667457580566,13
2015-03-04,13.496000289916992,13.501333236694336,13.147333145141602,13.283332824707031,13
2015-03-05,13.375332832336426,13.746000289916992,13.34333324432373,13.523332595825195,13
2015-03-06,12.925333023071287,13.383333206176758,12.8100004196167,13.280667304992676,12
2015-03-09,12.725333213806152,12.965999603271484,12.550000190734863,12.959333419799805,12
2015-03-10,12.687999725341797,12.899999618530272,12.506667137145996,12.564000129699709,12
2015-03-11,12.916000366210938,13.07866668701172,12.734000205993652,12.743332862854004,12
2015-03-12,12.73799991607666,12.963333129882812,12.649999618530272,12.916666984558104,12
2015-03-13,12.57866668701172,12.783332824707031,12.48799991607666,12.596667289733888,12
2015-03-16,13.046667098999023,13.060667037963867,12.653332710266112,12.800000190734863,13
2015-03-17,12.982000350952148,13.247332572937012,12.929332733154297,13.028667449951172,12
2015-03-18,13.380666732788086,13.392000198364258,12.87399959564209,12.997332572937012,13
2015-03-19,13.043333053588867,13.63933277130127,12.968667030334473,13.466667175292969,13
2015-03-20,13.20533275604248,13.265999794006348,13.041333198547363,13.16333293914795,13
2015-03-23,13.308667182922363,13.366666793823242,13.164667129516602,13.233332633972168,13
2015-03-24,13.447999954223633,13.586000442504885,13.31666660308838,13.43866729736328,13
2015-03-25,12.953332901000977,13.239333152770996,12.846667289733888,13.218000411987305,12
2015-03-26,12.694000244140623,12.986000061035156,12.646666526794434,28.586000442504883,12
2015-03-27,12.333333015441896,12.619333267211914,12.09333324432373,12.604666709899902,12
2015-03-30,12.704667091369627,12.81666660308838,12.119999885559082,12.390000343322754,12
2015-03-31,12.584667205810549,12.917332649230955,12.560667037963867,12.902000427246094,12
2015-04-01,12.505999565124512,12.81999969482422,12.403332710266112,12.579999923706056,12
2015-04-02,12.733332633972168,12.881999969482422,12.666666984558104,12.682000160217283,12
2015-04-06,13.539999961853027,13.850000381469728,13.166666984558104,13.199999809265137,13
2015-04-07,13.550000190734863,13.670666694641112,13.40933322906494,13.500666618347168,13
2015-04-08,13.844667434692385,14.0600004196167,13.724666595458984,13.880000114440918,13
2015-04-09,14.005999565124512,14.024666786193848,13.7413330078125,13.895333290100098,14
2015-04-10,14.0600004196167,14.109999656677246,13.93333339691162,13.989999771118164,14
2015-04-13,13.985333442687988,14.199999809265137,13.936667442321776,14.029333114624023,13
2015-04-14,13.830666542053224,13.965999603271484,13.699999809265137,13.904666900634766,13
2015-04-15,13.85533332824707,13.97266674041748,13.773332595825195,13.830666542053224,13
2015-04-16,13.779999732971191,13.944666862487791,13.752667427062988,13.846667289733888,13
2015-04-17,13.78600025177002,13.791999816894531,13.56666660308838,13.666000366210938,13
2015-04-20,13.684666633605955,13.856666564941406,13.59000015258789,13.785332679748535,13
2015-04-21,13.96066665649414,14.050000190734863,13.620667457580566,13.720000267028809,13
2015-04-22,14.629332542419434,14.629332542419434,14.112667083740234,14.166666984558104,14
2015-04-23,14.57333278656006,14.76533317565918,14.476667404174805,14.5513334274292,14
2015-04-24,14.562000274658203,14.720000267028809,14.534000396728516,14.699999809265137,14
2015-04-27,15.436667442321776,15.916666984558104,14.800000190734863,14.837332725524902,15
2015-04-28,15.36533260345459,15.699999809265137,15.20199966430664,15.649999618530272,15
2015-04-29,15.49666690826416,15.664667129516602,15.175333023071287,15.33666706085205,15
2015-04-30,15.06999969482422,15.526000022888184,15.011333465576172,15.359333038330078,15
2015-05-01,15.0686674118042,15.451333045959473,14.694000244140623,15.329333305358888,15
2015-05-04,15.36733341217041,15.648667335510254,15.140666961669922,15.211999893188477,15
2015-05-05,15.529999732971191,15.966667175292969,15.275333404541016,15.850666999816896,15
2015-05-06,15.362000465393066,15.631333351135254,15.213333129882812,15.606666564941406,15
2015-05-07,15.786666870117188,15.83199977874756,14.68333339691162,14.733332633972168,15
2015-05-08,15.77400016784668,15.894000053405762,15.579999923706056,15.732666969299316,15
2015-05-11,15.965999603271484,16.191999435424805,15.687333106994627,15.752667427062988,15
2015-05-12,16.31599998474121,16.42333221435547,15.879332542419434,16.007333755493164,16
2015-05-13,16.211999893188477,16.553333282470703,16.149999618530273,16.507333755493164,16
2015-05-14,16.273332595825195,16.326000213623047,16.083332061767578,16.321332931518555,16
2015-05-15,16.589332580566406,16.626667022705078,16.166667938232422,16.261999130249023,16
2015-05-18,16.583332061767578,16.65999984741211,16.399999618530273,16.46666717529297,16
2015-05-19,16.47599983215332,16.733333587646484,16.40999984741211,16.562000274658203,16
2015-05-20,16.290000915527344,16.516000747680664,16.091333389282227,16.475332260131836,16
2015-05-21,16.374666213989258,16.441333770751953,16.157333374023438,16.20199966430664,16
2015-05-22,16.51533317565918,16.573333740234375,16.333999633789062,28.586000442504883,16
2015-05-26,16.497333526611328,16.799999237060547,16.433332443237305,16.511999130249023,16
2015-05-27,16.495332717895508,16.633333206176758,16.3700008392334,16.567333221435547,16
2015-05-28,16.76333236694336,16.786666870117188,16.336666107177734,16.468666076660156,16
2015-05-29,16.719999313354492,16.857999801635742,16.6286678314209,16.733333587646484,16
2015-06-01,16.6299991607666,16.773332595825195,16.49799919128418,16.76066780090332,16
2015-06-02,16.55666732788086,16.626667022705078,16.420000076293945,16.594667434692383,16
2015-06-03,16.599332809448242,16.71466636657715,16.46733283996582,16.546667098999023,16
2015-06-04,16.39466667175293,16.6200008392334,16.380666732788086,16.5,16
2015-06-05,16.609333038330078,16.64666748046875,16.3786678314209,16.399999618530273,16
2015-06-08,17.086000442504883,17.25,16.687332153320312,16.72333335876465,17
2015-06-09,17.066667556762695,17.182666778564453,16.94266700744629,17.02666664123535,17
2015-06-10,16.713333129882812,16.933332443237305,16.566667556762695,16.793333053588867,16
2015-06-11,16.76066780090332,16.95800018310547,16.69533348083496,16.884000778198242,16
2015-06-12,16.71266746520996,16.8973331451416,16.680667877197266,16.680667877197266,16
2015-06-15,16.691999435424805,16.75200080871582,16.400667190551758,16.64666748046875,16
2015-06-16,16.874666213989258,16.895999908447266,16.606666564941406,16.67533302307129,16
2015-06-17,17.360666275024414,17.624000549316406,16.801332473754883,16.81133270263672,17
2015-06-18,17.459333419799805,17.56399917602539,17.334667205810547,17.46666717529297,17
2015-06-19,17.500667572021484,17.586666107177734,17.34000015258789,17.49333381652832,17
2015-06-22,17.319332122802734,17.626667022705078,17.04599952697754,17.476667404174805,17
2015-06-23,17.844667434692383,17.866666793823242,17.238000869750977,17.35466766357422,17
2015-06-24,17.67799949645996,17.823333740234375,17.58133316040039,17.798667907714844,17
2015-06-25,17.91933250427246,18.0939998626709,17.683332443237305,17.76333236694336,17
2015-06-26,17.805999755859375,17.94066619873047,17.733333587646484,17.926000595092773,17
2015-06-29,17.468000411987305,17.729999542236328,17.3799991607666,17.463333129882812,17
2015-06-30,17.884000778198242,18.06133270263672,17.600000381469727,17.65333366394043,17
2015-07-01,17.94333267211914,18.17466735839844,17.856666564941406,18.073999404907227,17
2015-07-02,18.667999267578125,18.82999992370605,18.220666885375977,18.68000030517578,18
2015-07-06,18.64800071716309,18.779333114624023,18.420000076293945,18.59199905395508,18
2015-07-07,17.858667373657227,18.34666633605957,17.384666442871094,18.33333206176757,17
2015-07-08,16.997333526611328,17.386667251586914,16.95400047302246,17.288000106811523,16
2015-07-09,17.19466781616211,17.530000686645508,17.119333267211914,17.27199935913086,17
2015-07-10,17.27666664123535,17.53333282470703,17.187999725341797,17.481332778930664,17
2015-07-13,17.477333068847656,17.503332138061523,17.06999969482422,17.483333587646484,17
2015-07-14,17.709999084472656,17.732667922973633,17.367332458496094,17.47333335876465,17
2015-07-15,17.542667388916016,17.832666397094727,17.472000122070312,17.78266716003418,17
2015-07-16,17.778667449951172,17.81333351135254,17.54400062561035,17.614667892456055,17
2015-07-17,18.310667037963867,18.36933326721191,17.883333206176758,18.166667938232425,18
2015-07-20,18.817333221435547,19.11000061035156,18.16933250427246,18.33333206176757,18
2015-07-21,17.784666061401367,18.233333587646484,17.770000457763672,18.003332138061523,17
2015-07-22,17.857999801635742,17.96266746520996,17.390666961669922,17.417999267578125,17
2015-07-23,17.81333351135254,17.99333381652832,17.684667587280273,17.976667404174805,17
2015-07-24,17.694000244140625,18.07266616821289,17.594667434692383,17.825332641601562,17
2015-07-27,16.867332458496094,17.6286678314209,16.71933364868164,28.586000442504883,16
2015-07-28,17.654666900634766,17.69333267211914,16.78933334350586,17.049999237060547,17
2015-07-29,17.58799934387207,17.859333038330078,17.46666717529297,17.618000030517578,17
2015-07-30,17.785999298095703,17.79599952697754,17.474000930786133,17.512666702270508,17
2015-07-31,17.74333381652832,17.957332611083984,17.674667358398438,17.84000015258789,17
